Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-09 14:00:00,29.17,32.05,-0.2969920112811874,-0.04364967844063811
2015-01-09 15:00:00,29.47,30.12,-0.2741624416644074,-0.18684656371542338
2015-01-09 16:00:00,30.09,29.68,-0.2269813311230615,-0.21949248574698083
2015-01-09 17:00:00,30.99,30.25,-0.15849262227272093,-0.17720117766064516
2015-01-09 18:00:00,30.63,30.76,-0.18588810581285717,-0.13936158621497632
2015-01-09 19:00:00,29.91,29.23,-0.24067907289312962,-0.2528803605519826
2015-01-09 20:00:00,28.85,26.37,-0.321343552205753,-0.46507885375710517
2015-01-09 21:00:00,28.32,28.94,-0.36167579186206483,-0.2743969909818726
2015-01-09 22:00:00,27.89,28.8,-0.3943981749794498,-0.2847843298100954
2015-01-09 23:00:00,26.74,27.68,-0.48191152517710745,-0.3678830404358778
2015-01-10 00:00:00,27.84,32.9,-0.3982031032489132,0.01941630730214321
2015-01-10 01:00:00,27.21,29.49,-0.4461451994441516,-0.2335895884424261
2015-01-10 02:00:00,27.04,29.68,-0.4590819555603272,-0.21949248574698083
2015-01-10 03:00:00,27.47,30.75,-0.4263595724429422,-0.14010353898842093
2015-01-10 04:00:00,27.71,31.13,-0.4080959167495179,-0.11190933359753057
2015-01-10 05:00:00,27.91,33.09,-0.3928762036716645,0.033513409997588776
2015-01-10 06:00:00,27.97,31.95,-0.3883102897483085,-0.051069206175082794
2015-01-10 07:00:00,28.43,32.25,-0.3533049496692454,-0.028810622971748197
2015-01-10 08:00:00,28.55,31.76,-0.3441731218225333,-0.06516630887052784
2015-01-10 09:00:00,28.56,31.47,-0.34341213616864075,-0.0866829393004181
2015-01-10 10:00:00,28.58,31.82,-0.34189016486085544,-0.060714592229861024
2015-01-10 11:00:00,28.42,29.23,-0.35406593532313796,-0.2528803605519826
2015-01-10 12:00:00,28.24,29.11,-0.36776367709320634,-0.26178379383331646
2015-01-10 13:00:00,27.96,28.94,-0.38907127540220104,-0.2743969909818726
2015-01-10 14:00:00,27.84,28.62,-0.3982031032489132,-0.2981394797320961
2015-01-10 15:00:00,27.86,30.36,-0.39668113194112786,-0.16903969715275588
2015-01-10 16:00:00,28.13,28.64,-0.3761345192860257,-0.29665557418520716
2015-01-10 17:00:00,28.36,30.18,-0.35863184924649416,-0.18239484707475656
2015-01-10 18:00:00,28.1,31.64,-0.37841747624770355,-0.07406974215186173
2015-01-10 19:00:00,27.71,29.66,-0.4080959167495179,-0.22097639129386976
2015-01-10 20:00:00,27.86,29.46,-0.39668113194112786,-0.2358154467627594
2015-01-10 21:00:00,27.64,30.18,-0.41342281632676664,-0.18239484707475656
2015-01-10 22:00:00,26.46,30.46,-0.5032191234861022,-0.16162016941831092
